,area,latitude,longitude,polygons
0,abu hail,25.285252,55.329751,"[[[55.3269577026367, 25.2790260314941], [55.3265914916992, 25.2796287536621], [55.3246459960938, 25.2836914062501], [55.3223419189453, 25.2883911132813], [55.3233451843263, 25.2892608642578], [55.3266601562501, 25.2921390533447], [55.3270568847657, 25.292802810669], [55.3272972106934, 25.2929363250733], [55.3384819030762, 25.284086227417], [55.3296585083008, 25.2800941467286], [55.3269844055177, 25.2789821624756], [55.3269577026367, 25.2790260314941]]]"
1,al baraha,25.280514,55.320609,"[[[55.3269577026367, 25.2790260314941], [55.3229026794434, 25.2784404754639], [55.3153533935547, 25.2770042419434], [55.3151893615722, 25.277780532837], [55.3147239685059, 25.2784900665284], [55.3141479492187, 25.2787666320801], [55.3137817382812, 25.2788105010986], [55.3133087158204, 25.2788047790528], [55.3129920959473, 25.2787532806396], [55.3120498657226, 25.2786464691163], [55.3114204406738, 25.278591156006], [55.3110504150392, 25.2786827087402], [55.3106765747071, 25.2790126800538], [55.3102798461915, 25.2793712615967], [55.3102035522461, 25.2797565460205], [55.3101272583007, 25.2802562713623], [55.3160400390624, 25.2833900451661], [55.3194160461426, 25.2858581542969], [55.3223419189453, 25.2883911132813], [55.3246459960938, 25.2836914062501], [55.3265914916992, 25.2796287536621], [55.3269577026367, 25.2790260314941]]]"
2,al dhagaya,25.27232,55.300562,"[[[55.2985687255859, 25.2704086303711], [55.2982940673829, 25.2708492279054], [55.2977905273438, 25.2710151672363], [55.2975311279298, 25.2714710235596], [55.2978401184081, 25.2719345092773], [55.2981414794922, 25.2728538513184], [55.298137664795, 25.2731990814209], [55.2974128723146, 25.273838043213], [55.2989463806153, 25.2743072509767], [55.3016204833984, 25.2756595611573], [55.3023338317872, 25.2716979980469], [55.301628112793, 25.2714614868165], [55.3008155822754, 25.2709941864014], [55.3004074096679, 25.2709312438965], [55.2999992370605, 25.2708702087402], [55.2991790771485, 25.2708034515381], [55.2986793518067, 25.2704524993898], [55.2985687255859, 25.2704086303711]]]"
3,al sabkha,25.271321,55.300069,"[[[55.2985687255859, 25.2704086303711], [55.2982940673829, 25.2708492279054], [55.2977905273438, 25.2710151672363], [55.2975311279298, 25.2714710235596], [55.2978401184081, 25.2719345092773], [55.2981414794922, 25.2728538513184], [55.298137664795, 25.2731990814209], [55.2974128723146, 25.273838043213], [55.2989463806153, 25.2743072509767], [55.3016204833984, 25.2756595611573], [55.3023338317872, 25.2716979980469], [55.301628112793, 25.2714614868165], [55.3008155822754, 25.2709941864014], [55.3004074096679, 25.2709312438965], [55.2999992370605, 25.2708702087402], [55.2991790771485, 25.2708034515381], [55.2986793518067, 25.2704524993898], [55.2985687255859, 25.2704086303711]]]"
4,al khabeesi,25.26788,55.335454,"[[[55.3296089172364, 25.2641048431397], [55.3299484252931, 25.2647609710694], [55.3303108215332, 25.2669868469239], [55.3302764892579, 25.2694244384766], [55.3302574157714, 25.2708206176758], [55.3302574157714, 25.2708911895753], [55.3338775634766, 25.2712554931642], [55.3378868103027, 25.2720890045167], [55.3431434631348, 25.2739391326904], [55.3484344482423, 25.2762088775635], [55.349349975586, 25.2754840850831], [55.3396263122559, 25.2664203643799], [55.3366622924805, 25.2636585235596], [55.3365440368652, 25.2635517120361], [55.3339004516602, 25.2611999511718], [55.3330154418945, 25.2621498107911], [55.3323669433594, 25.2626438140869], [55.3312072753907, 25.2633819580079], [55.3302841186524, 25.2637901306152], [55.3296089172364, 25.2641048431397]]]"
5,al mamzer,25.303528,55.347476,"[[[55.3635063171387, 25.3003044128419], [55.3634033203125, 25.3002128601074], [55.3630714416503, 25.2999477386475], [55.3627014160157, 25.2996501922609], [55.362232208252, 25.2992458343507], [55.3618812561036, 25.2986736297609], [55.3617248535157, 25.2983455657958], [55.3616905212403, 25.2983188629151], [55.3616561889648, 25.2982025146484], [55.3602752685548, 25.2936744689943], [55.359375, 25.287244796753], [55.3574676513672, 25.2825946807862], [55.3563728332521, 25.2816371917725], [55.3562164306641, 25.2815017700196], [55.3546371459961, 25.2827625274659], [55.3493118286133, 25.2879581451416], [55.3455390930176, 25.2908496856689], [55.3434715270996, 25.2924308776855], [55.3360290527345, 25.2987976074219], [55.3358612060548, 25.2986888885499], [55.338695526123, 25.3014717102051], [55.3388862609863, 25.3040065765382], [55.3392143249511, 25.3049926757813], [55.3396606445314, 25.3057193756104], [55.3403358459474, 25.3062953948976], [55.3411216735839, 25.3068218231202], [55.3411102294922, 25.3076477050782], [55.3401908874512, 25.3084125518799], [55.3383293151855, 25.309606552124], [55.3394165039063, 25.3112106323242], [55.3391761779786, 25.3124809265137], [55.3400115966797, 25.3128719329834], [55.3408851623536, 25.3142681121827], [55.3413963317872, 25.3152770996094], [55.3421745300294, 25.3161926269531], [55.3429031372071, 25.3166790008545], [55.3432083129883, 25.3173046112061], [55.3431968688966, 25.3181152343751], [55.3440742492676, 25.3177909851074], [55.3442382812501, 25.3179092407227], [55.344509124756, 25.3180599212647], [55.3447685241699, 25.3183403015137], [55.3447914123535, 25.3188304901124], [55.3446197509767, 25.3193416595459], [55.3442916870117, 25.3195896148683], [55.3440284729004, 25.3198184967041], [55.3439979553222, 25.3200492858887], [55.3440551757814, 25.3201942443849], [55.3441352844239, 25.3203601837159], [55.3443183898927, 25.3207550048828], [55.345890045166, 25.3210601806642], [55.3466186523438, 25.3213901519775], [55.3469200134277, 25.3220214843751], [55.3468704223633, 25.3225307464601], [55.3467102050782, 25.3228607177734], [55.3463897705078, 25.3231105804444], [55.3461685180665, 25.3232498168945], [55.3460083007812, 25.3234806060791], [55.3460807800292, 25.3236598968507], [55.3462791442871, 25.3240203857422], [55.3465690612794, 25.3239688873292], [55.3466987609863, 25.3238601684571], [55.3471908569336, 25.3238201141358], [55.3478012084962, 25.3239402770997], [55.34822845459, 25.3242301940917], [55.3486404418946, 25.3245582580568], [55.3490409851075, 25.3249111175537], [55.3492393493653, 25.3252601623536], [55.3493194580079, 25.3256587982178], [55.3493118286133, 25.3260402679443], [55.3491516113282, 25.3263092041016], [55.348949432373, 25.3265190124511], [55.3487701416016, 25.3266296386719], [55.3488616943359, 25.3268394470215], [55.3494186401367, 25.327169418335], [55.3497009277344, 25.3272495269775], [55.349880218506, 25.327060699463], [55.3501091003418, 25.3268795013428], [55.3504180908203, 25.3267307281494], [55.3510398864746, 25.3267097473144], [55.351589202881, 25.3267993927003], [55.3518600463868, 25.3270702362061], [55.3520317077637, 25.3274707794189], [55.3521118164062, 25.3276901245118], [55.3523216247559, 25.3277893066406], [55.3530883789062, 25.3278007507325], [55.3536186218262, 25.3278102874756], [55.3541412353517, 25.3276195526124], [55.3544998168946, 25.3271389007568], [55.3545608520509, 25.3267402648926], [55.3545608520509, 25.326280593872], [55.3542404174805, 25.3258991241455], [55.3538093566895, 25.3255405426025], [55.3536491394044, 25.3252601623536], [55.3536491394044, 25.3242206573486], [55.3536491394044, 25.3236408233643], [55.3535118103028, 25.3232212066652], [55.3530807495117, 25.3226985931398], [55.3526000976563, 25.3223705291747], [55.3522911071778, 25.3221797943115], [55.3520393371582, 25.321969985962], [55.3521194458008, 25.3216590881348], [55.3523979187012, 25.3213405609131], [55.3526191711426, 25.3211097717286], [55.3527717590331, 25.320779800415], [55.3527488708497, 25.3204994201661], [55.3525505065919, 25.3202495574952], [55.3521118164062, 25.3199596405029], [55.3516311645508, 25.3198585510254], [55.351490020752, 25.3195095062255], [55.3511810302734, 25.3191585540771], [55.3507499694825, 25.3188495635986], [55.3502006530762, 25.318250656128], [55.3498191833497, 25.317819595337], [55.3498115539551, 25.3172397613526], [55.3497390747071, 25.3166198730469], [55.3493309020996, 25.3162784576417], [55.348690032959, 25.3158397674562], [55.3486785888672, 25.3156604766846], [55.3487701416016, 25.3152694702149], [55.3487586975097, 25.3149700164795], [55.3484001159668, 25.3142890930177], [55.3481483459474, 25.313570022583], [55.3481216430664, 25.3129196166992], [55.3480987548828, 25.3127899169922], [55.3480186462402, 25.3127098083497], [55.347770690918, 25.312620162964], [55.34769821167, 25.3124713897706], [55.3476905822754, 25.3121700286866], [55.3476486206055, 25.3111209869385], [55.3474998474122, 25.3090400695801], [55.347541809082, 25.3080005645752], [55.34769821167, 25.3071804046631], [55.3480491638184, 25.3062496185303], [55.3489990234376, 25.3047103881836], [55.349479675293, 25.3038711547853], [55.3497390747071, 25.3031787872316], [55.349880218506, 25.3025894165038], [55.349998474121, 25.3017597198487], [55.3501091003418, 25.3010101318361], [55.3504295349122, 25.300220489502], [55.3506393432617, 25.2998504638672], [55.3511810302734, 25.2992496490479], [55.3516311645508, 25.2989101409912], [55.3518295288087, 25.2987689971925], [55.3525085449219, 25.2984504699708], [55.3531379699706, 25.2982692718506], [55.3537597656251, 25.2981910705567], [55.3544502258302, 25.2982387542725], [55.3550910949707, 25.2983703613282], [55.3557586669922, 25.2986011505128], [55.3564414978027, 25.2991218566895], [55.3570289611816, 25.2997589111328], [55.3572807312012, 25.3001708984375], [55.3573150634766, 25.3001766204835], [55.357666015625, 25.3007965087891], [55.3577613830566, 25.301866531372], [55.3575401306152, 25.3027362823487], [55.3572692871094, 25.3030433654786], [55.3533058166505, 25.3059120178224], [55.3515930175781, 25.3078041076661], [55.3502426147461, 25.3106307983398], [55.3498840332032, 25.3105964660645], [55.349624633789, 25.3124084472657], [55.3495826721191, 25.3130493164064], [55.3569068908693, 25.3055706024171], [55.3594512939454, 25.3034839630128], [55.3604660034181, 25.3027420043946], [55.3613433837891, 25.302101135254], [55.3631019592285, 25.3006286621095], [55.3635063171387, 25.3003044128419]]]"
6,hor al anz east,25.285533,55.353205,"[[[55.3635063171387, 25.3003044128419], [55.3634033203125, 25.3002128601074], [55.3630714416503, 25.2999477386475], [55.3627014160157, 25.2996501922609], [55.362232208252, 25.2992458343507], [55.3618812561036, 25.2986736297609], [55.3617248535157, 25.2983455657958], [55.3616905212403, 25.2983188629151], [55.3616561889648, 25.2982025146484], [55.3602752685548, 25.2936744689943], [55.359375, 25.287244796753], [55.3574676513672, 25.2825946807862], [55.3563728332521, 25.2816371917725], [55.3562164306641, 25.2815017700196], [55.3546371459961, 25.2827625274659], [55.3493118286133, 25.2879581451416], [55.3455390930176, 25.2908496856689], [55.3434715270996, 25.2924308776855], [55.3360290527345, 25.2987976074219], [55.3358612060548, 25.2986888885499], [55.338695526123, 25.3014717102051], [55.3388862609863, 25.3040065765382], [55.3392143249511, 25.3049926757813], [55.3396606445314, 25.3057193756104], [55.3403358459474, 25.3062953948976], [55.3411216735839, 25.3068218231202], [55.3411102294922, 25.3076477050782], [55.3401908874512, 25.3084125518799], [55.3383293151855, 25.309606552124], [55.3394165039063, 25.3112106323242], [55.3391761779786, 25.3124809265137], [55.3400115966797, 25.3128719329834], [55.3408851623536, 25.3142681121827], [55.3413963317872, 25.3152770996094], [55.3421745300294, 25.3161926269531], [55.3429031372071, 25.3166790008545], [55.3432083129883, 25.3173046112061], [55.3431968688966, 25.3181152343751], [55.3440742492676, 25.3177909851074], [55.3442382812501, 25.3179092407227], [55.344509124756, 25.3180599212647], [55.3447685241699, 25.3183403015137], [55.3447914123535, 25.3188304901124], [55.3446197509767, 25.3193416595459], [55.3442916870117, 25.3195896148683], [55.3440284729004, 25.3198184967041], [55.3439979553222, 25.3200492858887], [55.3440551757814, 25.3201942443849], [55.3441352844239, 25.3203601837159], [55.3443183898927, 25.3207550048828], [55.345890045166, 25.3210601806642], [55.3466186523438, 25.3213901519775], [55.3469200134277, 25.3220214843751], [55.3468704223633, 25.3225307464601], [55.3467102050782, 25.3228607177734], [55.3463897705078, 25.3231105804444], [55.3461685180665, 25.3232498168945], [55.3460083007812, 25.3234806060791], [55.3460807800292, 25.3236598968507], [55.3462791442871, 25.3240203857422], [55.3465690612794, 25.3239688873292], [55.3466987609863, 25.3238601684571], [55.3471908569336, 25.3238201141358], [55.3478012084962, 25.3239402770997], [55.34822845459, 25.3242301940917], [55.3486404418946, 25.3245582580568], [55.3490409851075, 25.3249111175537], [55.3492393493653, 25.3252601623536], [55.3493194580079, 25.3256587982178], [55.3493118286133, 25.3260402679443], [55.3491516113282, 25.3263092041016], [55.348949432373, 25.3265190124511], [55.3487701416016, 25.3266296386719], [55.3488616943359, 25.3268394470215], [55.3494186401367, 25.327169418335], [55.3497009277344, 25.3272495269775], [55.349880218506, 25.327060699463], [55.3501091003418, 25.3268795013428], [55.3504180908203, 25.3267307281494], [55.3510398864746, 25.3267097473144], [55.351589202881, 25.3267993927003], [55.3518600463868, 25.3270702362061], [55.3520317077637, 25.3274707794189], [55.3521118164062, 25.3276901245118], [55.3523216247559, 25.3277893066406], [55.3530883789062, 25.3278007507325], [55.3536186218262, 25.3278102874756], [55.3541412353517, 25.3276195526124], [55.3544998168946, 25.3271389007568], [55.3545608520509, 25.3267402648926], [55.3545608520509, 25.326280593872], [55.3542404174805, 25.3258991241455], [55.3538093566895, 25.3255405426025], [55.3536491394044, 25.3252601623536], [55.3536491394044, 25.3242206573486], [55.3536491394044, 25.3236408233643], [55.3535118103028, 25.3232212066652], [55.3530807495117, 25.3226985931398], [55.3526000976563, 25.3223705291747], [55.3522911071778, 25.3221797943115], [55.3520393371582, 25.321969985962], [55.3521194458008, 25.3216590881348], [55.3523979187012, 25.3213405609131], [55.3526191711426, 25.3211097717286], [55.3527717590331, 25.320779800415], [55.3527488708497, 25.3204994201661], [55.3525505065919, 25.3202495574952], [55.3521118164062, 25.3199596405029], [55.3516311645508, 25.3198585510254], [55.351490020752, 25.3195095062255], [55.3511810302734, 25.3191585540771], [55.3507499694825, 25.3188495635986], [55.3502006530762, 25.318250656128], [55.3498191833497, 25.317819595337], [55.3498115539551, 25.3172397613526], [55.3497390747071, 25.3166198730469], [55.3493309020996, 25.3162784576417], [55.348690032959, 25.3158397674562], [55.3486785888672, 25.3156604766846], [55.3487701416016, 25.3152694702149], [55.3487586975097, 25.3149700164795], [55.3484001159668, 25.3142890930177], [55.3481483459474, 25.313570022583], [55.3481216430664, 25.3129196166992], [55.3480987548828, 25.3127899169922], [55.3480186462402, 25.3127098083497], [55.347770690918, 25.312620162964], [55.34769821167, 25.3124713897706], [55.3476905822754, 25.3121700286866], [55.3476486206055, 25.3111209869385], [55.3474998474122, 25.3090400695801], [55.347541809082, 25.3080005645752], [55.34769821167, 25.3071804046631], [55.3480491638184, 25.3062496185303], [55.3489990234376, 25.3047103881836], [55.349479675293, 25.3038711547853], [55.3497390747071, 25.3031787872316], [55.349880218506, 25.3025894165038], [55.349998474121, 25.3017597198487], [55.3501091003418, 25.3010101318361], [55.3504295349122, 25.300220489502], [55.3506393432617, 25.2998504638672], [55.3511810302734, 25.2992496490479], [55.3516311645508, 25.2989101409912], [55.3518295288087, 25.2987689971925], [55.3525085449219, 25.2984504699708], [55.3531379699706, 25.2982692718506], [55.3537597656251, 25.2981910705567], [55.3544502258302, 25.2982387542725], [55.3550910949707, 25.2983703613282], [55.3557586669922, 25.2986011505128], [55.3564414978027, 25.2991218566895], [55.3570289611816, 25.2997589111328], [55.3572807312012, 25.3001708984375], [55.3573150634766, 25.3001766204835], [55.357666015625, 25.3007965087891], [55.3577613830566, 25.301866531372], [55.3575401306152, 25.3027362823487], [55.3572692871094, 25.3030433654786], [55.3533058166505, 25.3059120178224], [55.3515930175781, 25.3078041076661], [55.3502426147461, 25.3106307983398], [55.3498840332032, 25.3105964660645], [55.349624633789, 25.3124084472657], [55.3495826721191, 25.3130493164064], [55.3569068908693, 25.3055706024171], [55.3594512939454, 25.3034839630128], [55.3604660034181, 25.3027420043946], [55.3613433837891, 25.302101135254], [55.3631019592285, 25.3006286621095], [55.3635063171387, 25.3003044128419]]]"
7,al mararr,25.276755,55.309033,"[[[55.3153533935547, 25.2770042419434], [55.3137855529786, 25.2767601013184], [55.3122177124025, 25.2761116027833], [55.3083305358886, 25.2745761871339], [55.3066520690918, 25.273754119873], [55.3046035766601, 25.2771663665771], [55.3047027587891, 25.2772159576417], [55.3096656799316, 25.2800102233887], [55.3101272583007, 25.2802562713623], [55.3102035522461, 25.2797565460205], [55.3102798461915, 25.2793712615967], [55.3106765747071, 25.2790126800538], [55.3110504150392, 25.2786827087402], [55.3114204406738, 25.278591156006], [55.3120498657226, 25.2786464691163], [55.3129920959473, 25.2787532806396], [55.3133087158204, 25.2788047790528], [55.3137817382812, 25.2788105010986], [55.3141479492187, 25.2787666320801], [55.3147239685059, 25.2784900665284], [55.3151893615722, 25.277780532837], [55.3153533935547, 25.2770042419434]]]"
8,al-murar jadeed,25.276934,55.309896,"[[[55.3153533935547, 25.2770042419434], [55.3137855529786, 25.2767601013184], [55.3122177124025, 25.2761116027833], [55.3083305358886, 25.2745761871339], [55.3066520690918, 25.273754119873], [55.3046035766601, 25.2771663665771], [55.3047027587891, 25.2772159576417], [55.3096656799316, 25.2800102233887], [55.3101272583007, 25.2802562713623], [55.3102035522461, 25.2797565460205], [55.3102798461915, 25.2793712615967], [55.3106765747071, 25.2790126800538], [55.3110504150392, 25.2786827087402], [55.3114204406738, 25.278591156006], [55.3120498657226, 25.2786464691163], [55.3129920959473, 25.2787532806396], [55.3133087158204, 25.2788047790528], [55.3137817382812, 25.2788105010986], [55.3141479492187, 25.2787666320801], [55.3147239685059, 25.2784900665284], [55.3151893615722, 25.277780532837], [55.3153533935547, 25.2770042419434]]]"
9,al-murar qadeem,25.276497,55.308185,"[[[55.3153533935547, 25.2770042419434], [55.3137855529786, 25.2767601013184], [55.3122177124025, 25.2761116027833], [55.3083305358886, 25.2745761871339], [55.3066520690918, 25.273754119873], [55.3046035766601, 25.2771663665771], [55.3047027587891, 25.2772159576417], [55.3096656799316, 25.2800102233887], [55.3101272583007, 25.2802562713623], [55.3102035522461, 25.2797565460205], [55.3102798461915, 25.2793712615967], [55.3106765747071, 25.2790126800538], [55.3110504150392, 25.2786827087402], [55.3114204406738, 25.278591156006], [55.3120498657226, 25.2786464691163], [55.3129920959473, 25.2787532806396], [55.3133087158204, 25.2788047790528], [55.3137817382812, 25.2788105010986], [55.3141479492187, 25.2787666320801], [55.3147239685059, 25.2784900665284], [55.3151893615722, 25.277780532837], [55.3153533935547, 25.2770042419434]]]"
