abu hail,25.285252,55.329751
akoya oxygen,24.987446,55.372311
al asbaq,,
al-aweer,25.175918,55.556211
al aweer first,25.174909,55.552091
al aweer second,25.162174,55.515813
al bada,25.226752,55.269318
al-baloosh,25.214479,55.303237
al baraha,25.280514,55.320609
al barari,25.099579,55.317117
al barsha,25.090902,55.219505
al barshaa south first,25.088491,55.228124
al barshaa south second,25.067827,55.223581
al barshaa south third,25.056390,55.231735
al barsha first,25.111868,55.195066
al barsha second,25.101612,55.216573
al barsha south fifth,,
al barsha south fourth,,
al barsha third,25.092704, 55.197572
al-bastakiyah,,
al buteen,25.258895,55.320144
al-cornich,,
al dhagaya,25.272320,55.300562
al-dzahiyyah,,
al-jadeedah,,
al eyas,,
al fahidi,25.262241,55.292204
al furjan,25.025415,55.148867
al garhoud,25.242718,55.349951
al goze first,25.167852,55.253978
al goze fourth,25.152267,55.254504
al goze industrial first,25.144465,55.231118
al goze industrial fourth,25.114779,55.232327
al goze industrial second,25.135080,55.247966
al goze industrial third,25.126826,55.220503
al goze second,25.151139,55.271058
al goze third,25.161132,55.240524
al habtoor polo,25.079518,55.368690
al hamriya,25.260037,55.303781
al hebiah fifth,,
al hebiah first,,
al hebiah fourth,25.041794,55.220289
al hebiah second,,
al hebiah sixth,,
al hebiah third,,
al hudaiba,25.242487,55.279346
al jadaf,25.217850,55.330910
al jafliya,25.238149,55.286487
al karama,25.245846,55.304786
al khabeesi,25.267880,55.335454
al khail gate,25.140101,55.252619
al khail heights,25.158127,55.254513
al khairan first,,
al khairan  second,,
al khawaneej,25.230854,55.517841
al khawaneej first,25.241740,55.486064
al khawaneej second,25.241474,55.517521
al kheeran,,
al kifaf,25.233225, 55.295219
al lusaily,24.936021,55.480099
al maha,,
al mamzer,25.303528,55.347476
al manara,25.144560,55.215064
al mararr,25.276755,55.309033
al marmoom,,
al merkadh,,
al mezhar,25.244700,55.448750
al mezhar first,25.243831,55.441579
al mezhar second,25.242259,55.461112
al-muhaisnah north,25.259337,55.420282
al-murar jadeed,25.276934,55.309896
al-murar qadeem,25.276497,55.308185
al murqabat,25.264954,55.322760
al-musalla (deira),,
al musalla (dubai),,
al-mustashfa west,,
al muteena,25.274591,55.323849
al nahda first,25.293196,55.365214
al-nahdah,25.292571,55.374009
al nahda second,25.291858,55.378295
al-nakhal,,
al-qiyadah,25.278493,55.352193
al qoaz,25.141250,55.246389
al qusais,25.271734,55.383037
al qusais first,25.278903,55.371372
al qusais industrial fifth,25.286956,55.415081
al qusais industrial first,25.286756,55.385948
al qusais industrial fourth,25.293634,55.400166
al qusais industrial second,25.282147,55.393469
al qusais industrial third,25.298881,55.388603
al qusais second,25.268924,55.388528
al qusais third,25.261129,55.400554
al raffa,25.255602,55.289403
al ras,25.268823,55.295745
al rashidiya,25.224110,55.392881
al-raulah,,
al rega,25.267508,55.311586
al-riqqa east,25.267275,55.313464
al-riqqa west,25.267916,55.308443
al rowaiyah first,,
al rowaiyah third,,
al ruwayyah,25.087452,55.400093
al sabkha,25.271321,55.300069
al safaa,25.173743,55.236018
al saffa first,25.175714,55.238723
al saffa second,25.160660,55.226332
al-safiyyah,25.276082, 55.345384
al safouh first,25.121075,55.183160
al safouh second,25.100402,55.163378
al satwa,25.221435,55.274173
al-shumaal,,
al-souq al kabeer (deira),,
al suq al kabeer,25.262084,55.293851
al-tawar,25.260350,55.382592
al thanayah fourth,,
al thanyah fifth,,
al thanyah third,,
al ttay,,
al twar first,25.271472,55.364815
al twar second,25.261165,55.382284
al twar third,25.249232,55.396902
al waha,25.162323,55.249027
al waheda,25.289252,55.339694
al warqa first,25.188297,55.403026
al warqa fourth,25.187890, 55.438165
al warqa second,25.202724, 55.409805
al warqa third,25.193727,55.422491
al warsan first,25.159122,55.424236
al warsan second,25.159704,55.438157
al warsan third,25.155108,55.464863
al wasl,25.198359,55.257517
al yelayiss 1,,
al yelayiss 2,,
al yelayiss 3,,
al yelayiss 4,,
al yufrah 1,,
al yufrah 2,24.966439,55.390306
al yufrah 3,,
al yufrah 4,,
al-zarouniyyah,,
arabian ranches i,25.052568,55.263061
arabian ranches ii,25.034565,55.272405
arabian ranches iii,25.059828,55.314083
arabian ranches polo club,25.038235,55.255169
arjan,25.065349,55.235606
asmaran,,
barsha heights,25.098375,55.176462
